Variable,Max_Abs_Deviation,Min_Deviation
x1,0.0,0.0
v1,0.0,0.0
a1,0.0,0.0
x2,3.003,-3.003
v2,3.003,-3.003
a2,3.003,-3.003
x3,0.0,0.0
v3,0.0,0.0
a3,0.0,0.0
x4,0.0,0.0
v4,0.0,0.0
a4,0.0,0.0
