Variable,Max_Abs_Deviation,Min_Deviation
x1,0.0011724131514779749,-0.0011724131514779749
v1,0.034837178858276634,-0.034837178858276634
a1,1.6115521925294258,-1.6115521925294258
x2,0.002323234045882393,-0.002318768159913721
v2,0.054086842291388895,-0.05378499043064712
a2,2.69789849325912,-2.354120885446855
x3,0.003375414082480807,-0.003191330110023775
v3,0.0694378538954709,-0.06686008503376886
a3,1.9017722397154864,-1.8526592804269781
x4,0.004002959203994013,-0.0038214751931081588
v4,0.09512967732817254,-0.0865332913461379
a4,2.604703072564214,-2.604703072564214
