Variable,Max_Abs_Deviation,Min_Deviation
x1,0.00040919599125173597,-0.0003423555455619853
v1,0.015043854513612717,-0.015043854513612717
a1,0.9025427839162175,-0.9025427839162175
x2,0.0006815987932774384,-0.0006439406118752766
v2,0.023161925098225164,-0.02178263336034723
a2,0.9070782170952463,-0.8637014858662337
x3,0.0008237012087992254,-0.0008131213737884281
v3,0.021594673214478506,-0.021594673214478506
a3,0.8734846315038125,-0.7380350081084491
x4,0.0011082454412903945,-0.0011082454412903945
v4,0.03515813267514647,-0.028353389291120176
a4,1.394622000063699,-1.1634232453134699
