x1,x2,x3,x4,v1,v2,v3,v4,a1,a2,a3,a4
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11973384221394856,-0.1907496452331543,-0.12767065048217774,0.058393543958663946
-6.446494711842722e-06,-9.12536067795636e-06,-6.268504661681854e-06,1.1378715573365933e-06,-0.0012892989423685444,-0.001825072135591272,-0.0012537009323363708,0.00022757431146731868,-0.13812594625976032,-0.17426478188510008,-0.1230695359850964,-0.01287868166520021
-2.4593940251117166e-05,-3.387813299761332e-05,-2.2607129140792392e-05,1.3029652497296392e-06,-0.002340190165486344,-0.0031254823283401205,-0.002014023963485737,-0.00019455557298870947,-0.07205229836379962,-0.08581725666466955,-0.028995070244776877,-0.07154729522600542
-4.90867034038798e-05,-6.723134210372438e-05,-4.562039224072963e-05,-5.846401434952552e-06,-0.002558362465066182,-0.0035451594928820923,-0.0025886286565017106,-0.0012353177639477287,0.028417838447832022,0.0018818237562752138,-0.08592586835841776,-0.1366051429657984
-7.127665780236874e-05,-9.898274111337898e-05,-7.526875166620402e-05,-2.5687352873638807e-05,-0.0018796284146316074,-0.002805120309048827,-0.0033410432285931684,-0.002732872523789522,0.10732897163908289,0.14612601301037786,-0.06455704605987378,-0.1629058090025603
-8.396837602656522e-05,-0.00012081350695883014,-0.0001096142248870119,-6.0350683591775996e-05,-0.0006587152302076889,-0.0015610328600414042,-0.003528051415568407,-0.0041997936198379165,0.1368536652457008,0.10269147679110668,0.02715540866482613,-0.13047841020711864
-8.422428169980335e-05,-0.00013257096908061395,-0.00014163548125081663,-0.00010867577656859469,0.0006075340955600643,-0.0007904595643153574,-0.0028761998571925403,-0.005465224975525823,0.11639619990784983,0.05142318235410265,0.10321490301034719,-0.12260786093046255
-7.446806082722316e-05,-0.00013653459860622384,-0.00016655136794689623,-0.00016668469619577744,0.0013437100789559732,-2.266340806621322e-06,-0.00210697748202338,-0.006136558949910725,0.03083899677133195,0.10621546234764456,0.05062957202348495,-0.011658933946517902
-6.182400310630565e-05,-0.0001329082570448065,-0.00018683471361009875,-0.0002247848743330819,0.0011851014652275284,0.0007275346530900898,-0.0019496916506171246,-0.005483476677550168,-0.06256071951702091,0.03974473643169765,-0.01917240574223389,0.14227538841862925
-5.458791822155576e-05,-0.00012593571511448069,-0.0002070387727639232,-0.00026873946171575687,0.0002621155117224504,0.0006669737329750725,-0.002091120180147766,-0.003307440798984826,-0.12203647118399469,-0.05185692045470111,-0.009113300163894444,0.2929317872944392
