time,x1_original,x1_envelope,x1_triangle,x1_square,x2_original,x2_envelope,x2_triangle,x2_square,v1_original,v1_envelope,v1_triangle,v1_square,v2_original,v2_envelope,v2_triangle,v2_square,a1_original,a1_envelope,a1_triangle,a1_square,a2_original,a2_envelope,a2_triangle,a2_square
0.0,0.0,0.0,-0.01,0.01,0.007071067811865476,0.010606601717798213,-0.01,0.01,0.020733025848875434,0.031099487616664437,0.013200000000000017,0.0,0.02186184623486397,0.03278972962451228,0.020000000000000052,0.0,-0.00044566112328107976,-0.0006838342305630352,-2.7755575615628914e-15,0.0,-0.03597020129080149,-0.05427690448864403,-3.469446951953614e-15,0.0
0.01,0.00020733025848875434,0.0003109948761666444,-0.009868,0.01,0.007289686274214116,0.010934499014043336,-0.0098,0.01,0.020728569237642623,0.031092649274358806,0.01319999999999999,0.0,0.021502144221955954,0.03224696057962584,0.020000000000000018,0.0,-0.0008912264506857337,-0.0013675136470852056,-1.3322676295501878e-15,0.0,-0.05447692788375336,-0.08221032127444317,-4.551914400963142e-15,0.0
0.02,0.0004145713847528525,0.0006218529854871761,-0.009736,0.01,0.007501110696304595,0.01125154092939073,-0.0096,0.01,0.020715201319861716,0.031072137343722734,0.01319999999999999,0.0,0.020772307677188906,0.031145523199023417,0.019999999999999962,0.0,-0.0017820697590520407,-0.002734408110091957,-5.440092820663267e-15,5.551115123125785e-15,-0.07400864246702454,-0.11170530849795557,-5.551115123125783e-15,5.551115123125785e-15
0.03,0.0006216342848859885,0.0009324376230410989,-0.009604,0.01,0.007705132427757892,0.011557409478023804,-0.0094,0.01,0.02069292784246158,0.031037961112156964,0.013199999999999878,1.1102230246251565e-16,0.020021971372615466,0.030012854409666723,0.019999999999999907,1.1102230246251565e-16,-0.0026721469474937365,-0.004100064493240074,0.0,3.851859888774472e-30,-0.07602159388049301,-0.11477094663606113,0.0,3.851859888774472e-30
0.04,0.0008284299416020841,0.0012426122077303153,-0.009472000000000001,0.01,0.007901550123756903,0.011851798017584063,-0.0092,0.01,0.02066175838091184,0.030990136053857927,0.01319999999999999,0.0,0.019251875799579043,0.02885010426630219,0.019999999999999962,0.0,-0.003561075367762623,-0.005463864477189162,1.1102230246251565e-14,-5.551115123125781e-15,-0.07795952115898497,-0.11772003863993463,2.7755575615628914e-15,-5.551115123125781e-15
0.05,0.0010348694525042254,0.0015522403441182576,-0.00934,0.01,0.008090169943749474,0.012134411563349849,-0.009000000000000001,0.01,0.020621706335106328,0.030928683822613177,0.0132000000000001,0.0,0.018462780949435764,0.02765845363686803,0.019999999999999962,0.0,-0.004448472865472564,-0.0068251906069263235,2.7755575615628914e-15,-2.7755575615628937e-15,-0.07982051180226157,-0.12054956444845222,5.551115123125783e-15,-2.7755575615628937e-15
0.06,0.0012408640683042105,0.001861185884182579,-0.009208,0.01,0.008270805742745618,0.012404967090321423,-0.0088,0.01,0.020572788923602384,0.0308536322417194,0.013200000000000045,-5.551115123125783e-17,0.017655465563533812,0.026439112977333146,0.020000000000000073,-5.551115123125783e-17,-0.0053339579443902885,-0.008183426579242425,-8.326672684688674e-15,5.551115123125766e-15,-0.08160272923724021,-0.12325662806343396,2.6645352591003757e-15,5.551115123125766e-15
0.07,0.001446325230976273,0.002169312988952646,-0.009075999999999999,0.01,0.00844327925502015,0.012663193822896513,-0.0086,0.01,0.020515027176218524,0.030765015291028333,0.013199999999999934,1.1102230246251565e-16,0.016830726364690962,0.02519332107559935,0.020000000000000018,1.1102230246251565e-16,-0.006217149930436872,-0.009537957529624608,-5.440092820663267e-15,2.7755575615628716e-15,-0.08330441463047789,-0.12583846057686587,-2.6645352591003757e-15,2.7755575615628716e-15
0.08,0.001651164611828581,0.0024764861900031456,-0.008944,0.01,0.008607420270039436,0.012908833511833409,-0.0084,0.01,0.020448445924993647,0.030662873091126905,0.013199999999999934,0.0,0.015989377270924254,0.023922343765795828,0.020000000000000018,0.0,-0.007097669135345042,-0.01088817031849132,5.551115123125783e-15,-8.326672684688679e-15,-0.08492388862394451,-0.12829242306336974,0.0,-8.326672684688679e-15
0.09,0.0018552941494761458,0.002782570450775184,-0.008812,0.01,0.008763066800438635,0.013141640698212428,-0.0082,0.01,0.020373073793511623,0.03054725188465851,0.013200000000000045,-5.551115123125783e-17,0.015132248592212072,0.022627472614331956,0.020000000000000018,-5.551115123125783e-17,-0.007975137019886835,-0.012233453816612005,2.7755575615628914e-15,5.551115123125766e-15,-0.08645955299230734,-0.13061600933495532,-1.1102230246251565e-16,5.551115123125766e-15
0.1,0.0020586260876988135,0.003087431227696316,-0.00868,0.01,0.008910065241883678,0.013361382964120051,-0.008,0.01,0.02028894318459591,0.03041820401479467,0.01319999999999999,1.1102230246251565e-16,0.014260186211078107,0.021310023579096726,0.020000000000000018,1.1102230246251565e-16,-0.008849176356615196,-0.013573199189534257,1.1102230246251565e-16,2.7755575615628716e-15,-0.08790989222026968,-0.1328068485553111,0.0,2.7755575615628716e-15
0.11,0.002261073013168064,0.0033909345310710773,-0.008548,0.01,0.009048270524660196,0.013567841169794361,-0.0078000000000000005,0.01,0.02019609026637932,0.030275787900867823,0.013200000000000045,0.0,0.013374050747806676,0.01997133564322573,0.020000000000000018,0.0,-0.009719411392029143,-0.014906800180909618,2.7755575615628914e-15,-8.326672684688679e-15,-0.089273474998114,-0.13486270771037046,0.0,-8.326672684688679e-15
0.12,0.0024625478930263996,0.003692946985713672,-0.008416,0.01,0.009177546256839812,0.013760809676984566,-0.0076,0.01,0.02009455495675533,0.030120068011176476,0.013200000000000045,-5.551115123125783e-17,0.01247471671111583,0.01861276942488932,0.020000000000000018,-5.551115123125783e-17,-0.010585468008111776,-0.01623365339463323,-2.7755575615628914e-15,-7.70371977754894e-30,-0.09054895563422038,-0.13678149393290273,-2.886579864025407e-15,-7.70371977754894e-30
0.13,0.0026629641123031705,0.003993335891294607,-0.008284,0.01,0.009297764858882514,0.01394009655829215,-0.0074,0.01,0.019984380906217084,0.029951114832975162,0.01319999999999999,0.0,0.011563071635122268,0.017235705764567677,0.019999999999999962,0.0,-0.011446973883173839,-0.01755315857559636,-2.7755575615628914e-15,2.775557561562889e-15,-0.091735075383234,-0.13856125667873187,2.886579864025407e-15,2.775557561562889e-15
0.14,0.0028622355111507414,0.004291969282373176,-0.008152,0.01,0.009408807689542257,0.014105523792275919,-0.0072,0.01,0.019865615479091853,0.029769004839664548,0.01319999999999999,0.0,0.010640015203451147,0.01584154429131468,0.020000000000000073,0.0,-0.012303558651902913,-0.018864718888888854,0.0,0.0,-0.092830663688176,-0.14020018975173254,2.6645352591003757e-15,0.0
0.15,0.0030602764218850076,0.004588715988087898,-0.008020000000000001,0.01,0.009510565162951536,0.014256927444118444,-0.006999999999999999,0.01,0.019738309733179027,0.02957382045519738,0.01319999999999999,0.0,0.00970645836135875,0.014431701969533028,0.020000000000000018,0.0,-0.013154854064598265,-0.020167741197425704,2.7755575615628914e-15,0.0,-0.09383463933562441,-0.14169663317613046,-5.440092820663267e-15,0.0
0.16,0.0032570017058143213,0.004883445691477123,-0.007888,0.01,0.00960293685676943,0.014394157831666579,-0.0068,0.01,0.01960251839779989,0.029365650015716033,0.013200000000000045,0.0,0.008763322416738661,0.01300761162779207,0.019999999999999962,0.0,-0.014000494145477327,-0.021461636337795298,2.7755575615628914e-15,0.0,-0.09474601152283374,-0.14304907491379226,-2.7755575615628914e-15,0.0
