x1_original,x1_drifted,x1_amplitude_scaled,x1_lowfreq,x2_original,x2_drifted,x2_amplitude_scaled,x2_lowfreq,v1_original,v1_drifted,v1_amplitude_scaled,v1_lowfreq,v2_original,v2_drifted,v2_amplitude_scaled,v2_lowfreq,a1_original,a1_drifted,a1_amplitude_scaled,a1_lowfreq,a2_original,a2_drifted,a2_amplitude_scaled,a2_lowfreq
-0.00045083094,0.0069366284,-0.0006701634,0.004172523,0.0012237913,0.008598534,0.0018198935,-0.0022960403,-0.026881125,-0.01941515,-0.040306196,-0.022928001,0.017252678,0.024694705,0.025833992,0.014473428,0.021342605,0.028814578,0.03156875,-0.106527835,-0.017086314,-0.009660349,-0.025598252,0.06443193
-0.00069961505,0.006677378,-0.0010431694,0.0040739537,0.0013933758,0.008769855,0.0020763609,-0.0022191098,-0.026747396,-0.019266022,-0.040103752,-0.023448538,0.01709051,0.024535444,0.025635554,0.01480122,0.028062668,0.035643704,0.041797798,-0.10367523,-0.021318281,-0.013845253,-0.031917077,0.06258459
-0.0009873929,0.0063854004,-0.0014711013,0.003950648,0.0015935187,0.008967717,0.002371676,-0.0021249056,-0.026394665,-0.018910998,-0.03958627,-0.024036324,0.016799388,0.0242429,0.025215823,0.015174188,0.035776507,0.04336695,0.053531934,-0.100166745,-0.026147753,-0.01865296,-0.03918651,0.06040717
-0.0012439543,0.0061267917,-0.0018580697,0.0038324792,0.0017709862,0.0091375215,0.0026358136,-0.0020362418,-0.026025478,-0.018539613,-0.03902484,-0.0245219,0.016510725,0.023937333,0.024772365,0.015458809,0.042648096,0.050260246,0.06392285,-0.09688672,-0.030471599,-0.022976931,-0.04568849,0.058346428
-0.0014864823,0.0058822157,-0.0022287872,0.0037190684,0.0019390986,0.009294998,0.0028814727,-0.0019519507,-0.025646955,-0.018166104,-0.038448304,-0.024973994,0.01621574,0.023627333,0.024320684,0.01570883,0.049134146,0.05671772,0.07370658,-0.09371552,-0.03453802,-0.027013082,-0.051803745,0.05632367
-0.0017570695,0.0056113712,-0.0026408618,0.0035769744,0.002120365,0.009469803,0.0031580108,-0.0018521812,-0.024927301,-0.017460383,-0.03738969,-0.025517514,0.015706573,0.023097754,0.023544123,0.016012352,0.05635883,0.063944876,0.084489666,-0.08994132,-0.03910444,-0.031568516,-0.05861766,0.053913545
-0.0019558282,0.005415932,-0.0029396766,0.0034636874,0.0022500576,0.0095967455,0.0033582062,-0.0017727063,-0.024244322,-0.016801715,-0.03637085,-0.02590183,0.015240454,0.022617223,0.02282529,0.016210377,0.061668918,0.06911774,0.09239768,-0.08684973,-0.042444892,-0.03487276,-0.06356497,0.052006323
-0.0021829251,0.005187927,-0.0032777146,0.003346702,0.0024005421,0.009743816,0.0035882364,-0.001688101,-0.02361103,-0.01618843,-0.03543944,-0.026375575,0.0147958575,0.02215411,0.022152705,0.016477091,0.0677341,0.075167544,0.1014663,-0.0836716,-0.04625479,-0.0386679,-0.069243275,0.05001006
-0.0024122666,0.0049496456,-0.0036196273,0.0032262595,0.002548518,0.009885291,0.0038090688,-0.0016024138,-0.02295105,-0.015526246,-0.034507055,-0.026743848,0.014320008,0.02167223,0.02145689,0.016698737,0.07381945,0.08128684,0.11050057,-0.0804417,-0.050015684,-0.04240791,-0.07492677,0.047923304
-0.0026973826,0.0046630288,-0.0040420564,0.0030573078,0.0027307682,0.010066054,0.0040778182,-0.0014883111,-0.021923384,-0.01449251,-0.0330151,-0.027144548,0.0135866515,0.020960175,0.020396817,0.016947946,0.08126385,0.088724725,0.12164188,-0.07593619,-0.054600704,-0.04691065,-0.081895195,0.045069292
