x1,x2,x3,x4,v1,v2,v3,v4,a1,a2,a3,a4
0.00026758885,0.00045643712,0.0014046667,0.0026575883,0.0026296831,0.00046946597,0.0030643009,-0.007539181,0.0025775265,0.04080529,0.02177112,-0.078531146
0.0003547037,0.000571816,0.0018500102,0.0038476547,0.0024067233,0.00023289485,0.004976768,-0.010625958,-0.0026331777,0.059520155,0.045106716,-0.12209511
0.00036767375,0.00061302126,0.002118988,0.004646571,0.0027916648,0.000654309,0.006725154,-0.014076494,-0.0038805576,0.072706416,0.061059088,-0.15146935
0.0002611138,0.0005083444,0.0022323162,0.005160149,0.002900982,0.00089150487,0.008415243,-0.017488569,0.0012064442,0.086823,0.06976284,-0.17338799
0.00017980314,0.00042830597,0.0022948661,0.005485727,0.0027494892,0.0008456193,0.010159054,-0.02017323,0.0053849425,0.096341655,0.075365104,-0.18762916
0.00016008175,0.00041161152,0.0023497061,0.005662375,0.0022168427,0.0008287556,0.011864377,-0.022395685,0.0063350354,0.10232331,0.07660084,-0.19357081
0.00011621971,0.00035133015,0.0023941156,0.0057759862,0.0017736579,0.0011968921,0.013636633,-0.024819931,0.0076136086,0.111421,0.072296694,-0.19612552
7.979509e-05,0.00029716166,0.0024510082,0.005819717,0.0015864521,0.0020135134,0.015556341,-0.02751041,0.008280479,0.12055524,0.062716685,-0.19381486
5.185375e-05,0.0002645874,0.0025142005,0.0057256375,0.0012526565,0.0031111243,0.017473524,-0.030205268,0.009388883,0.12795219,0.0453512,-0.18305868
1.0557547e-05,0.00024051618,0.0025905604,0.0055278335,0.00057032227,0.0044009457,0.019179525,-0.032554045,0.013067627,0.13436784,0.020862732,-0.16577817
-1.0222919e-05,0.0002581955,0.0027199553,0.005317878,-0.00013004302,0.005850936,0.020684619,-0.03460355,0.016945811,0.1398683,-0.007986357,-0.14481184
-2.8618872e-05,0.00028683757,0.0028764626,0.005091657,-0.00088405906,0.007288904,0.021890976,-0.036273394,0.021131668,0.14536807,-0.04036402,-0.12122553
-5.5638753e-05,0.00032365337,0.0030469229,0.0048103505,-0.0015483213,0.00884653,0.022430938,-0.03753892,0.026633067,0.14960514,-0.07711985,-0.093267255
-7.356028e-05,0.00039771025,0.0032691294,0.004513296,-0.0020450035,0.010526395,0.022330366,-0.03854078,0.033515356,0.15216275,-0.11850618,-0.0610769
-8.798907e-05,0.00049242517,0.0035217488,0.004203628,-0.0025902302,0.012117114,0.021707484,-0.039144997,0.041765958,0.15354355,-0.16246817,-0.02654786
-9.329037e-05,0.0005988384,0.0037762797,0.0038656837,-0.0031058348,0.013614288,0.02053442,-0.039343808,0.050146416,0.15363279,-0.2071953,0.009779534
-0.0001076656,0.00070423516,0.004032847,0.0035131574,-0.0034795993,0.015213656,0.018975055,-0.039366927,0.059944227,0.15294781,-0.2528085,0.04716163
-0.00012097158,0.00083148683,0.0042941286,0.0031458724,-0.003577707,0.016989794,0.017089646,-0.03925302,0.07112201,0.1494921,-0.298194,0.085645944
-9.151306e-05,0.0010078262,0.0045333435,0.0027666232,-0.0035812736,0.018527953,0.014834376,-0.0384532,0.080354795,0.1409045,-0.3376027,0.12281356
-3.2797878e-05,0.0011968085,0.0047285827,0.0024149285,-0.003235913,0.019910177,0.012188007,-0.03721008,0.086687624,0.12984641,-0.36834982,0.15521836
3.4922123e-05,0.0013857554,0.0048770113,0.00208785,-0.0025341772,0.021293199,0.009359037,-0.035938177,0.091600254,0.11667861,-0.39128634,0.1829361
0.00010101429,0.0015809381,0.0049809767,0.0017670976,-0.0014822799,0.022598952,0.0064358152,-0.034677356,0.09667764,0.10037418,-0.40772676,0.20725179
0.0001398638,0.0017564964,0.0050370744,0.0014589592,-0.00024362325,0.023644177,0.0034022846,-0.033240225,0.10360892,0.08231379,-0.41860783,0.22757082
0.00017699046,0.0019593437,0.0050699813,0.0011494043,0.0011969423,0.02454432,0.00012908792,-0.031503942,0.111927174,0.05980162,-0.42489794,0.24638084
0.00020296125,0.0021949823,0.005093642,0.00083566294,0.0029511887,0.02546666,-0.0035674907,-0.029472506,0.122723766,0.032762803,-0.42830732,0.26464435
0.00023967488,0.002460591,0.005100277,0.0005199921,0.005012635,0.026324695,-0.0077060824,-0.027083512,0.13328828,0.0024613722,-0.42813486,0.28176373
0.00029505105,0.0027242033,0.00505836,0.00021011723,0.0073202807,0.026934052,-0.012135104,-0.02448966,0.14099701,-0.028665388,-0.42257324,0.29552653
0.00038813197,0.0029919804,0.004973301,-6.736508e-05,0.009745654,0.027196499,-0.01662482,-0.021850286,0.14437287,-0.060313374,-0.4104604,0.30474952
0.00052191515,0.003268085,0.004848588,-0.00031075918,0.012118462,0.02714788,-0.02095902,-0.019282605,0.14361554,-0.09315194,-0.39184588,0.3097995
0.0006962529,0.003557728,0.004692878,-0.00051563256,0.014181896,0.026639465,-0.025023157,-0.01680256,0.13897921,-0.12732841,-0.36715636,0.3110421
0.00089903397,0.0038586843,0.004504972,-0.00068379217,0.015891913,0.02556039,-0.02882556,-0.014331339,0.13142303,-0.16294579,-0.3363165,0.30846366
0.0011314551,0.004172312,0.0042658113,-0.00082969235,0.017295057,0.023781518,-0.032308817,-0.01172999,0.120719306,-0.20074908,-0.29733947,0.3016232
0.0013771042,0.0044853487,0.0039623645,-0.0009506234,0.018492509,0.021324394,-0.0352935,-0.009099493,0.10791437,-0.2400529,-0.24884288,0.28958794
0.0016166613,0.004777404,0.0035975445,-0.0010558624,0.019543411,0.018247861,-0.03769829,-0.0066148415,0.0939096,-0.27898467,-0.1929014,0.27298525
0.0018506923,0.0050357124,0.0031937251,-0.0011472916,0.020355567,0.014629087,-0.039534543,-0.0042551616,0.077881284,-0.31517303,-0.13318601,0.25284538
0.0020768493,0.005246098,0.0027632227,-0.0012189595,0.020874286,0.010569126,-0.04083575,-0.0019857192,0.059239265,-0.3468005,-0.07178997,0.22943771
0.0022826544,0.0053877286,0.0023074173,-0.0012664844,0.021151146,0.0062587373,-0.04157987,8.8503235e-05,0.038400553,-0.3724089,-0.010698782,0.20311724
0.0024754398,0.0054650106,0.0018389361,-0.0012881964,0.021177936,0.0018564471,-0.041751582,0.0020291694,0.015106675,-0.39176708,0.047919992,0.1751676
0.0026680597,0.0054835896,0.0013762041,-0.0012739951,0.021025928,-0.002549074,-0.041383784,0.0039357254,-0.011096935,-0.40450144,0.10319838,0.14632124
0.002868213,0.0054296367,0.0009224706,-0.0012219758,0.020699251,-0.006831193,-0.040413026,0.0056695035,-0.04092081,-0.40953475,0.15559073,0.11628956
