x1,x2,x3,x4,v1,v2,v3,v4,a1,a2,a3,a4
0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1,-0.1
1.0207543326255624e-11,6.825443970822927e-09,4.977599003947418e-06,0.009995014943982533,2.0415086652511247e-09,1.3650887941645856e-06,0.0009955198007894836,-0.000997011203493492,4.0830173305022493e-07,0.0002730177588329171,0.09910396015789671,-0.09940224069869838
8.667984587024197e-11,4.208152287550416e-08,1.9858354159435657e-05,0.009980094515051241,1.3252951843546143e-08,5.6861269867716605e-06,0.0019806312303081645,-0.001987074582764786,1.8339869026087785e-06,0.0005911898796884978,0.09791832574583945,-0.09861043515556048
3.824628458933661e-10,1.3753935553940433e-07,4.452383564537394e-05,0.009955317814416333,4.5903648161078686e-08,1.3405439546008373e-05,0.0029524650668794933,-0.0029682655442168915,4.69615236089773e-06,0.0009526726321588445,0.09644844156842627,-0.09762775713486058
1.1950853699204415e-09,3.292971522491116e-07,7.882720713031389e-05,0.00992078301923478,1.1662085664433639e-07,2.494611979593308e-05,0.003908209230108496,-0.003938693492093818,9.447289335753811e-06,0.0013554634178260967,0.09470039107737413,-0.09645783244052467
3.011722027269881e-09,6.575801589981039e-07,0.00012259383356965676,0.009876607020345781,2.4670647482555154e-07,4.071048155386538e-05,0.00484511605776008,-0.004896506285705786,1.6569834300489222e-05,0.0017974089337603639,0.09268097445294257,-0.09510472628186903
6.557346334657986e-09,1.1665255420534186e-06,0.0001756219606312373,0.009822925016092311,4.6241838665206936e-07,6.107859505719757e-05,0.005760509354556028,-0.005839894564988251,2.6572548064814343e-05,0.0022762137669060734,0.0903976849062472,-0.09357292957462385
1.2845512421794227e-08,1.9039530715100235e-06,0.00023768346338145827,0.009759890063597567,7.952148307751788e-07,8.64069108341234e-05,0.006651791195488163,-0.006767095933960659,3.998674075980753e-05,0.0027894493884790946,0.08785868328017968,-0.09186734421985773
2.3231388271777634e-08,2.9211225024755933e-06,0.00030852466169410935,0.009687672588967265,1.281960339221503e-06,0.00011702697535899054,0.007516448467042055,-0.00767639899209964,5.736236092945727e-05,0.003334563516494333,0.08507277103059882,-0.08999326740793859
3.9466649872421915e-08,4.272478589319033e-06,0.00038786719968212876,0.009606459857986086,1.9650919809073533e-06,0.00015324424200969736,0.008352059130561827,-0.00856614720413616,7.926396740771283e-05,0.0039088898136470296,0.08204936167335566,-0.08795637499936557
6.375583394298993e-08,6.015384701931756e-06,0.00047540898629923334,0.009516455408969024,2.8927448332062493e-06,0.0001953369805128473,0.009156298192859088,-0.009434742599276348,0.00010626660305206635,0.00450965788698296,0.07879845078609646,-0.08576270402867206
9.88137370943925e-08,8.209846043112698e-06,0.0005708251941139054,0.009417878449515827,4.118835797074266e-06,0.0002435552877233411,0.009926943370075315,-0.010280649291363046,0.0001389515897215369,0.005134003555115798,0.07533058465714895,-0.08341863438866745
1.4792344141137003e-07,1.0918223492928568e-05,0.000673769313123004,0.009310963218998785,5.703105066321238e-06,0.0002981202022398331,0.01066188043174442,-0.01110239681204536,0.00017790226412785746,0.005778979348182598,0.07165682767667211,-0.08093086974779543
2.1499454053661178e-07,1.4204939129163333e-05,0.0007838742563465651,0.00919595831869069,7.711114758727113e-06,0.0003592229250071197,0.011359108212967798,-0.011898583249573408,0.00022369967435331738,0.006441565205274723,0.06778872856800336,-0.07830641775781419
3.046211364056406e-07,1.8136174492709846e-05,0.0009007535138294307,0.00907312601151078,1.0214204415078655e-05,0.00042702414770218303,0.012016743283605325,-0.012667878186408897,0.00027691825691699096,0.007118679333737944,0.0637382855595022,-0.07555256960928372
4.221391748364262e-07,2.2779562682937933e-05,0.0010240023515694556,0.00894274149343158,1.3289403271078465e-05,0.0005016534903434343,0.012633024264399653,-0.013409025429431117,0.00033812151428297096,0.007807189194512314,0.05951791059936343,-0.07267687899516026
5.736826882202958e-07,2.8203875380673904e-05,0.0011531990517963738,0.008805092138648852,1.701929940569545e-05,0.00058320904920376,0.013206315780983979,-0.014120845527114404,0.00040785771264042656,0.008503922577552836,0.0551403927175019,-0.06968714054149708
7.662385155844163e-07,3.447870590543503e-05,0.0012879061909401592,0.008660476720669965,2.1491866067128652e-05,0.0006717570557484649,0.013735112047773109,-0.014802238068662913,0.0004866556196462139,0.00920567873138814,0.05061886064032431,-0.0665913677682047
1.0076990742870429e-06,4.1674149418978304e-05,0.0014276719515530342,0.008509204611523113,2.680024567339666e-05,0.0007673316469601903,0.014218040074801897,-0.015452183760707526,0.000575020301607387,0.00990923951095693,0.04596674476543336,-0.06339777064071797
1.3069127635435592e-06,4.9860481389056635e-05,0.0015720314643852902,0.008351594961330594,3.304249217790662e-05,0.000869934747055476,0.014653862491649301,-0.016069746277796303,0.0006734289992946042,0.010611380508100204,0.041197738604047546,-0.060114732777037355
1.673731587835473e-06,5.9107835425548844e-05,0.0017205081767618713,0.008187975860523933,4.032127268047613e-05,0.0009795360602429656,0.01504147998366693,-0.01665407388353573,0.0007823271012192976,0.011308882129397707,0.03632575979947825,-0.056750788370848154
2.1190555979901984e-06,6.948588159587528e-05,0.001872615243364299,0.008018683487006873,4.8743529350468973e-05,0.0010960731738223226,0.015379933336818597,-0.01720440081987642,0.0009021242327792708,0.011998540586473677,0.03136491083085505,-0.05331459889728993
2.6548737592939174e-06,8.106350631787134e-05,0.0020278569354910177,0.007844061240594094,5.842010291027483e-05,0.0012194517705768893,0.01566840508852516,-0.01772004846267925,0.0010331904791819001,0.012677178764439662,0.026329439510457048,-0.04981492966327697
3.294300869363472e-06,9.39084949161203e-05,0.002185730064848618,0.0076644588670690735,6.946531910363608e-05,0.001349545949072903,0.015906220782994914,-0.01820042624232492,0.0011758527594903493,0.013341656934763052,0.02123369938349376,-0.04626062626585678
4.051610163599953e-06,0.0001080872179122087,0.002345725417916615,0.0074802315742136015,8.199653974366004e-05,0.0014861986501447768,0.016092849830604432,-0.01864503232876948,0.0013303913685144427,0.013988883279611702,0.016092110138410026,-0.042660591023055444
4.942261262813905e-06,0.0001236643221005349,0.002507329196929475,0.007291739142164354,9.613368009913045e-05,0.0016292221875204651,0.016227905971967577,-0.019053454081079967,0.0014970367025796392,0.014615824195525956,0.010919118134219113,-0.03902375943904221
5.9829231359812475e-06,0.0001407024274392588,0.0026700244635312915,0.0070993450304484155,0.00011199869453433804,0.001778398880224313,0.016311147348395748,-0.019425368262107803,0.0016759661844618786,0.015219514345243629,0.005729157151415171,-0.03535907676652475
7.191491770985604e-06,0.00015926183076081938,0.0028332925811808086,0.006903415484039967,0.0001297150324665333,0.0019334817840878028,0.016342476181507682,-0.01976054101958181,0.0018673014019771742,0.015797066427454348,0.0005366094709716995,-0.03167547472827667
8.587102267546852e-06,0.00017940021727826965,0.002996614652417254,0.006704318640764489,0.00014940706684571633,0.0020941955194022496,0.01632193806578144,-0.020058827635513837,0.002071105473859436,0.016345680635434984,-0.004644232616220295,-0.027981848458128594
1.0190135089242004e-05,0.00020117238083259368,0.0031594729471404568,0.006502423642354878,0.00017119949749331399,0.0022602371914625576,0.016249720878859068,-0.02032017204640842,0.002287380655660093,0.01686265377662663,-0.009799204768254105,-0.02428703372078775
1.2022216235502975e-05,0.0002246299537922986,0.00332135231811182,0.006298099751436023,0.00019521673175888017,0.0024312774004784246,0.01612615331541357,-0.020544606137362482,0.0025160661974531428,0.017345388026546754,-0.014914307920845277,-0.020599784470025112
1.410621111963165e-05,0.0002498211474800389,0.003481741599945696,0.006091715476680621,0.00022158224506685484,0.002606961337069632,0.015951703051361635,-0.02073224881371792,0.0027570364641417906,0.01779139929169468,-0.019975744889541763,-0.016928750801062792
1.646621196510705e-05,0.00027679050396196717,0.0036401349879332666,0.005883637708339567,0.00025041792402822564,0.002786909959316026,0.01572697454615249,-0.020883304854492888,0.003010099328132365,0.018198325157584155,-0.024969956152287504,-0.013282457353930438
1.9127518559669622e-05,0.0003055786599940517,0.003796033393122944,0.005674230866305269,0.0002818433948842885,0.002970721247100878,0.015452706491782951,-0.020998063552366678,0.003274994843080212,0.018563932399386224,-0.029883654721619995,-0.009669282220827385
2.211661223474741e-05,0.0003362221238759043,0.003948945770172257,0.005463856062815819,0.0003159753401312689,0.0031579715292696406,0.015129768918079748,-0.021076897145523413,0.003551394206315861,0.01888612403436632,-0.03470386001902073,-0.006097436410520102
