Variable,Max_Abs_Deviation,Min_Deviation
x1,0.0,0.0
v1,0.0,0.0
a1,0.0,0.0
x2,0.0,0.0
v2,0.0,0.0
a2,0.0,0.0
x3,0.0,0.0
v3,0.0,0.0
a3,0.0,0.0
x4,1.0714737654078932,-1.0714737654078932
v4,1.1404134590582973,-0.8552123211352767
a4,0.9200962898773999,-0.8375913499092122
