x1,x2,v1,v2,a1,a2
0.0072636167,-0.0038074008,-0.0074041244,0.004399992,-0.18302226,0.110760994
0.0077472767,-0.0041348315,-0.005914699,0.0032358503,-0.19616786,0.11982405
0.0071310955,-0.004269679,0.006058778,-0.003934131,-0.18558086,0.113805234
0.006232699,-0.0038238193,0.0048101787,-0.002846843,-0.16511448,0.101430416
0.005127031,-0.0036590653,-0.022911726,0.013994103,-0.13838501,0.08812438
0.0069008945,-0.0035644888,-0.008215366,0.0050922344,-0.17306037,0.10396005
0.0070354436,-0.0036063124,-0.01180719,0.0071601635,-0.17776844,0.10630628
0.00760778,-0.004074573,-0.004325252,0.002359179,-0.1919495,0.117291
0.0069803237,-0.003744744,-0.0031532727,0.001955323,-0.17520818,0.10639167
0.0041971942,-0.0019319558,-0.030321604,0.01928383,-0.10268925,0.061679278
0.002149543,-0.003962955,0.00050414825,-0.0008459058,-0.08324711,0.059623726
0.006895107,-0.0036144564,-0.0052105333,0.0032825635,-0.17249373,0.10427286
0.008150402,-0.004689469,0.000960943,-0.0012930465,-0.2084076,0.12817682
0.007699098,-0.0042959554,-0.0010183193,0.00022162811,-0.19521728,0.11943464
0.007030567,-0.004152175,0.0035730782,-0.002366803,-0.18113436,0.11082029
0.0076379115,-0.0037115638,-0.016025819,0.009616318,-0.19025941,0.11299667
0.0058487323,-0.0035110775,-0.007563454,0.0048286836,-0.15379977,0.09428949
0.0073639997,-0.0039342865,-0.0039652623,0.002270037,-0.18520801,0.112853624
0.006760227,-0.0035178086,-0.0066089,0.004187716,-0.16924758,0.10182439
0.0047054505,-0.0035723017,-0.024978125,0.015371594,-0.12942672,0.083288044
0.0068267025,-0.0038453017,-0.0002669494,0.00015555204,-0.1734604,0.10566645
0.0065652723,-0.003483293,-0.01729625,0.010592958,-0.16807078,0.10044539
0.004265932,-0.0009881754,-0.031742938,0.020333631,-0.092547424,0.052880846
0.004698968,-0.0021464406,-0.028906545,0.018395146,-0.1154128,0.06892047
0.0073005846,-0.003540879,-0.018584905,0.01133495,-0.1817421,0.10731162
0.004346273,-0.0034639481,-0.026476836,0.01639806,-0.121843,0.07857702
0.004919407,-0.003634719,-0.022863515,0.013987346,-0.13392796,0.08586655
