Variable,Max_Abs_Deviation,Min_Deviation
x1,0.5699812788290588,-0.5699812788290588
v1,0.61728393794548,-0.61728393794548
a1,0.4785081608544631,-0.4785081608544631
x2,0.0,0.0
v2,0.0,0.0
a2,0.0,0.0
x3,0.0,0.0
v3,0.0,0.0
a3,0.0,0.0
x4,0.0,0.0
v4,0.0,0.0
a4,0.0,0.0
