Variable,Max_Abs_Deviation,Min_Deviation
x1,0.0007645977094623594,-0.0007595144605019601
v1,0.029226450978872127,-0.029226450978872127
a1,1.8618722871422513,-1.8618722871422513
x2,0.0013912544289455702,-0.0013912544289455702
v2,0.04287517883168468,-0.03838008206842365
a2,1.9835510466406523,-1.57450491451942
x3,0.0019947906082528025,-0.001801890980192345
v3,0.04813625098696794,-0.04813625098696794
a3,1.5953822880622557,-1.425025483013593
x4,0.0023754012530819257,-0.0023311814022528494
v4,0.06501841354527996,-0.06501841354527996
a4,2.3412962238974235,-2.3412962238974235
