Variable,Max_Abs_Deviation,Min_Deviation
x1,0.0,0.0
v1,0.0,0.0
a1,0.0,0.0
x2,0.0,0.0
v2,0.0,0.0
a2,0.0,0.0
x3,0.18,-0.18
v3,0.18,-0.18
a3,0.18000000000000005,-0.18000000000000005
x4,0.0,0.0
v4,0.0,0.0
a4,0.0,0.0
