x1,x2,v1,v2,a1,a2
0.004691194,0.0019199377,0.0047018006,-0.0044295634,-0.44727984,0.16817352
0.00843639,0.00082200905,0.003074643,-0.0050955596,-0.9629712,0.46178782
0.008367631,0.00010414201,-0.012423615,0.0055121654,-0.98792064,0.49472073
0.009348393,-0.0012140365,-0.034063555,0.019820523,-1.171387,0.6252434
0.008789645,-0.0015542195,-0.044429854,0.027167154,-1.1178108,0.60748154
0.007585777,-0.0020881684,-0.042720478,0.026349744,-1.0069212,0.5671755
0.0080343895,-0.0010375939,-0.038279653,0.0233207,-0.9997845,0.5328746
0.0070354706,-0.0006706702,-0.036602344,0.022649603,-0.85846657,0.4505664
0.0068708286,-0.0005794823,-0.03560901,0.022053733,-0.8337501,0.43538108
0.005302473,-9.634326e-05,-0.034943894,0.022342334,-0.61620915,0.310986
0.005134029,0.0002464237,-0.029033294,0.018374177,-0.57923824,0.28260902
0.003593313,0.0012161931,-0.014020711,0.008824434,-0.34539625,0.13666712
0.0020222387,0.0014822179,-0.0072563463,0.0048778676,-0.14591631,0.028577711
0.0009606427,0.001361129,-0.004275798,0.003210956,-0.028762061,-0.02671085
-0.00018623505,-4.9456383e-05,-0.0029088345,0.0022184995,0.020351212,-0.0087083625
-0.0005018881,0.0030886645,-0.012088596,0.007672476,0.25430813,-0.21969564
-0.0021517046,0.002374519,-0.015884958,0.009644612,0.41170356,-0.27797326
-0.0024531207,0.0057185087,-0.018585688,0.010303341,0.65424025,-0.49994737
-0.0029335152,0.0054663494,-0.021851111,0.012367355,0.69880897,-0.5148961
-0.0032806182,0.005110414,-0.020730484,0.01149492,0.71802115,-0.51388144
-0.004769908,0.0036592511,-0.018029658,0.009193343,0.80652964,-0.5149114
-0.003810368,0.005804182,-0.020565791,0.010706261,0.82350844,-0.58724123
-0.0047264663,0.0049115135,-0.018230315,0.008917828,0.8782374,-0.5883795
-0.005226483,0.0057829595,-0.017688686,0.0075050085,0.9883749,-0.6681331
-0.0065566464,0.005381334,-0.015722759,0.005315909,1.122221,-0.72296965
-0.0039098747,0.005695475,-0.020024138,0.01034246,0.8287448,-0.5867558
-0.0068402775,0.0034799445,-0.015854154,0.0064446474,1.0433632,-0.6285052
-0.007162106,0.0027069105,-0.015881674,0.0065355566,1.0347209,-0.60105807
-0.0066200187,0.0014847621,-0.011690767,0.0043883426,0.89170766,-0.492487
-0.0075743515,0.0014985218,0.016551046,-0.015805168,0.9896532,-0.53871244
-0.0066312724,0.0009778156,0.014165999,-0.013382536,0.846266,-0.45083958
-0.007142924,0.001031163,0.026588667,-0.02235142,0.90334535,-0.47977602
-0.0057863807,-7.3307034e-05,0.036812652,-0.028350981,0.6680208,-0.32723886
-0.0055601783,-0.00042999283,0.04638128,-0.034773424,0.6136229,-0.28811428
-0.0038281335,-0.0013809104,0.037724163,-0.02748516,0.35416988,-0.13042673
-0.0051408014,-0.0014686033,0.08130969,-0.05853207,0.47962654,-0.1856465
-0.0045654224,-0.0013981423,0.060700126,-0.04388702,0.4274872,-0.16401969
-0.0023021444,-0.0028586634,0.061706133,-0.043326445,0.06703596,0.0609011
-0.0017772855,-0.0033401176,0.06972391,-0.04891948,-0.030362876,0.12516248
-0.0016227069,-0.0031709217,0.055532526,-0.038985536,-0.029599778,0.11763949
-0.00052520557,-0.0041543907,0.068676576,-0.048634633,-0.22923039,0.24783319
-0.00041009943,-0.0046040844,0.088297375,-0.06249146,-0.28284606,0.29074654
0.0008025986,-0.005221837,0.07853371,-0.05605986,-0.45955914,0.3953197
0.0015460636,-0.005544055,0.06971217,-0.05012286,-0.5626891,0.4547662
0.0020789613,-0.0059485342,0.07250686,-0.052287087,-0.65295845,0.5120135
0.0020554033,-0.005626041,0.055592224,-0.04038503,-0.61983234,0.4835502
0.00268991,-0.0059871906,0.043018986,-0.031954594,-0.71058184,0.53858036
0.0036815498,-0.0066211238,0.02768722,-0.021809684,-0.85935885,0.6306922
0.003246393,-0.00638041,0.037925486,-0.028696686,-0.7984204,0.59383976
0.0038980087,-0.0066343797,0.016194664,-0.013887341,-0.8791359,0.6397171
0.005069672,-0.0062922435,-0.016549997,0.00840422,-0.97873443,0.6774779
0.0040080487,-0.0064611793,-0.0035741222,-0.00015224802,-0.8698001,0.6278522
0.0043817665,-0.0067966552,-0.0018148888,-0.001581748,-0.93630755,0.6714107
0.0038627319,-0.006341052,-0.0029370987,-0.0005072192,-0.84531754,0.6119804
0.004525814,-0.0057008746,-0.01956984,0.010831866,-0.8752209,0.6075949
0.005562128,-0.004883282,-0.0345126,0.020863079,-0.9399128,0.616044
0.0048556593,-0.0051742103,-0.028012052,0.016607542,-0.87714446,0.5929966
0.0057683648,-0.0049520293,-0.03512602,0.021188965,-0.96847326,0.6324995
0.004504262,-0.003730388,-0.032669507,0.020286275,-0.7435715,0.4826512
0.0030604561,-0.0022781903,-0.029119954,0.018739274,-0.48384908,0.30851462
0.0014008426,-0.0031216496,-0.023815446,0.01555948,-0.33942884,0.26045823
0.0027694877,-0.0029315457,-0.027699752,0.0177267,-0.48973602,0.33083332
0.0005543875,-0.002455172,-0.015153089,0.010042663,-0.20341195,0.17283525
-0.00031995893,-0.001864946,-0.006211092,0.004323716,-0.06893209,0.0883981
-0.0014463883,0.00012623164,-0.0075036963,0.004781657,0.18461378,-0.096445896
-0.0022843105,-0.0013058743,-0.00018402746,-0.00028969473,0.19549817,-0.05708154
-0.0028865808,-0.00012085536,-0.011943416,0.0071800505,0.3456842,-0.17046899
-0.004512681,0.00044816732,-0.017946523,0.010323062,0.5797183,-0.30542538
-0.0045747147,0.001565819,-0.01836186,0.010259095,0.6551526,-0.3764013
-0.003566551,0.0019873588,-0.019483013,0.011497178,0.56063867,-0.34164596
-0.006608285,0.0014061733,-0.007920464,0.0018124187,0.8831532,-0.4852557
-0.0058680386,0.0030988338,-0.017456342,0.008304461,0.90399796,-0.54712486
-0.0063951444,0.0012539191,-0.006394992,0.00094981346,0.8472953,-0.46225628
-0.0074468497,0.0015486057,0.010051616,-0.011237339,0.98143405,-0.53694814
-0.00645814,0.0011688464,-1.6177219e-05,-0.0034796924,0.84570175,-0.45800215
-0.0072596213,0.0013762867,0.013417075,-0.013384321,0.94631994,-0.5134674
-0.007193006,0.0016531522,-0.0031420062,-0.0019690883,0.96552366,-0.5338466
